zona,precos,quartos,areas
oeste,1500.0,2,92
oeste,1700.0,2,65
oeste,900000.0,2,50
oeste,1000.0,1,42
oeste,4000.0,1,
oeste,7500.0,,230
oeste,7500.0,1,108
oeste,7500.0,,240
oeste,7500.0,4,145
oeste,3100.0,,30
oeste,1500.0,2,89
oeste,7300.0,3,130
